champo,team1,team2,stat
الدوري الإيطالي,أتالانتا,"كل البطولات
الدوري المصري
الدوري الإنجليزي الممتاز
الدوري الإسباني
الدوري الإيطالي
دوري أبطال أوروبا
الدوري الأوروبي
دوري أبطال إفريقيا
كأس الكونفدرالية
الدوري السعودي للمحترفين
الدوري الألماني
الدوري الفرنسي
الدوري البرتغالي
كأس مصر
دوري المحترفين المصري
كأس عاصمة مصر
الدوري المصري  | سيدات
كأس السوبر الإفريقي | كرة يد
دوري المحترفين المصري | كرة يد
كأس مصر لكرة اليد
دوري أبطال آسيا للنخبة
دوري المؤتمر الأوروبي
بطولة إفريقيا للأندية | كرة سلة
كأس خادم الحرمين الشريفين
كأس رئيس الدولة الإماراتي
كأس الاتحاد الإنجليزي
كأس الرابطة الإنجليزية
الدوري الإنجليزي | الدرجة الأولى
الدوري التركي
الدوري الهولندي
الدوري السويسري
الدوري البلجيكي
الدوري الاسكتلندي
البطولة المغربية الاحترافية إنوي
الرابطة التونسية المحترفة
الرابطة الجزائرية المحترفة الأولى لكرة القدم
دوري نجوم العراق
دوري نجوم قطر
الدوري الأردني للمحترفين
الدوري الإماراتي
الدوري السوداني الممتاز
الدوري السوري
الدوري الموريتاني الممتاز
الدوري الأمريكي
كأس الأمم الإفريقية | تحت 17
تصفيات كأس العالم - إفريقيا
تصفيات كأس العالم 2026 - أوروبا
تصفيات كأس العالم - أمريكا الجنوبية
تصفيات كأس العالم - آسيا
دوري الأمم الأوروبية - المستوى الأول
دوري الأمم الأوروبية - المستوى الثاني
دوري الأمم الأوروبية - المستوى الثالث
دوري الأمم الأوروبية - المستوى الرابع
كأس الأمم الإفريقية | تحت 20
دوري السوبر المصري | كرة سلة
كأس ملك إسبانيا
كأس إيطاليا
كأس ألمانيا
كأس فرنسا
كأس البرتغال
كأس هولندا
كأس سويسرا
كأس تونس
كأس العرش المغربي
كأس الجزائر
كأس العراق
كأس الأردن
كأس نجوم قطر
كأس رابطة المحترفين الإماراتي
كأس سوريا
كأس السوبر الإيطالي
درع المجتمع
بطولة العالم للرجال 2025 | كرة يد
دوري المرتبط المصري| كرة سلة
كأس العالم للأندية | كرة طائرة
البطولة العربية للأندية | كرة طائرة
كأس السوبر المصري
كأس السوبر الفرنسي
كأس السوبر الإماراتي
كأس السوبر السعودي
كأس السوبر الألماني
كأس السوبر اللبناني
كأس السوبر الإسباني
كأس العالم للأندية
كأس إنتركونتيننتال
كأس السوبر الأوروبي
كأس مصر | كرة سلة
كأس السوبر الإفريقي
كوبا ليبرتادوريس
كأس السوبر المصري | كرة السلة
كأس السوبر المصري | كرة يد - رجال
كأس العالم للأندية | كرة يد
كأس مصر | كرة طائرة
بطولة شمال إفريقيا | تحت 20 سنة
تصفيات كأس الأمم الإفريقية 2025
التصفيات المؤهلة لأمم أفريقيا للمحليين 2025
مباريات ودية دولية
مباريات ودية - أندية
كأس الأمم الإفريقية
التصفيات المؤهلة للدوري الإنجليزي",لم تبدأ
الدوري الإيطالي,أتالانتا,"روما

  -",لم تبدأ
الدوري السعودي للمحترفين,الأخدود,"النصر

  -",لم تبدأ
كأس السوبر الإفريقي | كرة يد,الترجي | كرة يد,"منتدى درب السلطان | كرة يد

  -",لم تبدأ
الدوري التركي,قيصري سبور,"أنطاليا سبور

  -",لم تبدأ
البطولة المغربية الاحترافية إنوي,شباب المحمدية,"الرجاء البيضاوي

  -",لم تبدأ
الرابطة الجزائرية المحترفة الأولى لكرة القدم,شباب بلوزداد,"مولودية الجزائر

  -",لم تبدأ
دوري نجوم العراق,نفط البصرة,"النجف

  -",لم تبدأ
الدوري الأمريكي,فانكوفر وايتكابس,"لوس أنجلوس

  -",لم تبدأ
كأس الأمم الإفريقية | تحت 20,جنوب إفريقيا | تحت 20,"الكونجو الديمقراطية | تحت 20

  -",لم تبدأ
التصفيات المؤهلة للدوري الإنجليزي,شيفيلد يونايتد,"بريستول سيتي

  -",لم تبدأ
