title,company,location
Senior AI Vision Engineer – Computer Vision & Edge Deployment,Skarpt Company  -,"6th of October, Giza, Egypt "
AI Engineer,Pure Group  -,"Cairo, Egypt "
AI Engineer - Real Estate (Remote),Opal Estate Dubai -,"New Cairo, Cairo, Egypt "
AI Engineering Manager,Link Development -,"Cairo, Egypt "
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt "
AI Engineer,Quantanite -,"Maadi, Cairo, Egypt "
Python Team Lead - AI & Python Engineering,Softec Technologies -,"Cairo, Egypt "
"Full-Stack AI Tool Developer (React, Next.js, PostgreSQL, AWS Lambda)",Confidential -,"New Cairo, Cairo, Egypt "
AI Solutions Architect,Get AI Driven -,"Cairo, Egypt "
AI Agent Developer,Confidential -,"Heliopolis, Cairo, Egypt "
Artificial Intelligence Engineer (NLP),DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt "
AI & Software Trainer,compsoft -,"Giza, Egypt "
AI Prompt and Business Integrator - Full Time Remotely,Confidential -,"Sidi Bishr, Alexandria, Egypt "
Automation & Systems Specialist,Confidential -,"Cairo, Egypt "
Senior AI Developer,Global Brands -,"New Cairo, Cairo, Egypt "
Senior AI Vision Engineer – Computer Vision & Edge Deployment,Skarpt Company  -,"6th of October, Giza, Egypt "
AI Engineer,Pure Group  -,"Cairo, Egypt "
AI Engineer - Real Estate (Remote),Opal Estate Dubai -,"New Cairo, Cairo, Egypt "
AI Engineering Manager,Link Development -,"Cairo, Egypt "
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt "
AI Engineer,Quantanite -,"Maadi, Cairo, Egypt "
Python Team Lead - AI & Python Engineering,Softec Technologies -,"Cairo, Egypt "
"Full-Stack AI Tool Developer (React, Next.js, PostgreSQL, AWS Lambda)",Confidential -,"New Cairo, Cairo, Egypt "
AI Solutions Architect,Get AI Driven -,"Cairo, Egypt "
AI Agent Developer,Confidential -,"Heliopolis, Cairo, Egypt "
Artificial Intelligence Engineer (NLP),DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt "
AI & Software Trainer,compsoft -,"Giza, Egypt "
AI Prompt and Business Integrator - Full Time Remotely,Confidential -,"Sidi Bishr, Alexandria, Egypt "
Automation & Systems Specialist,Confidential -,"Cairo, Egypt "
Senior AI Developer,Global Brands -,"New Cairo, Cairo, Egypt "
Senior AI Vision Engineer – Computer Vision & Edge Deployment,Skarpt Company  -,"6th of October, Giza, Egypt "
AI Engineer,Pure Group  -,"Cairo, Egypt "
AI Engineer - Real Estate (Remote),Opal Estate Dubai -,"New Cairo, Cairo, Egypt "
AI Engineering Manager,Link Development -,"Cairo, Egypt "
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt "
AI Engineer,Quantanite -,"Maadi, Cairo, Egypt "
Python Team Lead - AI & Python Engineering,Softec Technologies -,"Cairo, Egypt "
"Full-Stack AI Tool Developer (React, Next.js, PostgreSQL, AWS Lambda)",Confidential -,"New Cairo, Cairo, Egypt "
AI Solutions Architect,Get AI Driven -,"Cairo, Egypt "
AI Agent Developer,Confidential -,"Heliopolis, Cairo, Egypt "
Artificial Intelligence Engineer (NLP),DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt "
AI & Software Trainer,compsoft -,"Giza, Egypt "
AI Prompt and Business Integrator - Full Time Remotely,Confidential -,"Sidi Bishr, Alexandria, Egypt "
Automation & Systems Specialist,Confidential -,"Cairo, Egypt "
Senior AI Developer,Global Brands -,"New Cairo, Cairo, Egypt "
Senior AI Vision Engineer – Computer Vision & Edge Deployment,Skarpt Company  -,"6th of October, Giza, Egypt "
AI Engineer,Pure Group  -,"Cairo, Egypt "
AI Engineer - Real Estate (Remote),Opal Estate Dubai -,"New Cairo, Cairo, Egypt "
AI Engineering Manager,Link Development -,"Cairo, Egypt "
Senior AI Engineer,Lumin -,"Sheikh Zayed, Giza, Egypt "
AI Engineer,Quantanite -,"Maadi, Cairo, Egypt "
Python Team Lead - AI & Python Engineering,Softec Technologies -,"Cairo, Egypt "
"Full-Stack AI Tool Developer (React, Next.js, PostgreSQL, AWS Lambda)",Confidential -,"New Cairo, Cairo, Egypt "
AI Solutions Architect,Get AI Driven -,"Cairo, Egypt "
AI Agent Developer,Confidential -,"Heliopolis, Cairo, Egypt "
Artificial Intelligence Engineer (NLP),DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt "
AI & Software Trainer,compsoft -,"Giza, Egypt "
AI Prompt and Business Integrator - Full Time Remotely,Confidential -,"Sidi Bishr, Alexandria, Egypt "
Automation & Systems Specialist,Confidential -,"Cairo, Egypt "
Senior AI Developer,Global Brands -,"New Cairo, Cairo, Egypt "
